,belongs_to_collection,budget,original_language,vote_average,vote_count,runtime,revenue,log_budget,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,has_homepage,quarter,month,year,decade,days_from_release,company_id_revenue_batch,company_id_vote_batch,Michael Shannon,Mads Mikkelsen,Djimon Hounsou,Bruce Willis,Ewan McGregor,Forest Whitaker,Johnny Depp,Greg Kinnear,Laurence Fishburne,Edward Norton,Ed Harris,James Garner,Dustin Hoffman,Jude Law,Sam Neill,Tom Cruise,Clive Owen,Peter O'Toole,Al Pacino,David Morse,Nick Nolte,Aaron Eckhart,Patrick Swayze,Javier Bardem,Woody Harrelson,Will Smith,Russell Crowe,John Hurt,Richard Dreyfuss,Christopher Walken,Jake Gyllenhaal,Casey Affleck,Frank Langella,Hugo Weaving,Harvey Keitel,Joe Pesci,William Hurt,Sacha Baron Cohen,Steve Buscemi,Ken Watanabe,Matthew McConaughey,Philip Seymour Hoffman,Kevin Bacon,John Cusack,Mark Ruffalo,Brad Pitt,Jamie Foxx,Paul Newman,Guy Pearce,Christopher Lee,Ralph Fiennes,Robin Williams,John Malkovich,Brian Cox,Martin Sheen,Keith David,Gene Hackman,Richard Jenkins,John Goodman,Jeff Bridges,Peter Fonda,Robert Redford,Eddie Murphy,Kevin Spacey,Hayden Christensen,Sean Connery,John C. Reilly,Bruce Davison,Sean Bean,Dennis Quaid,Stephen Rea,Alec Baldwin,Chow Yun-Fat,Bill Murray,Clint Eastwood,Martin Landau,Richard Gere,Colin Farrell,Mel Gibson,Jeremy Irons,Michael Clarke Duncan,Jack Nicholson,Tom Hanks,Hugh Jackman,Bruno Ganz,Orlando Bloom,Ian McKellen,Eric Bana,Michael Caine,Joaquin Phoenix,Nicolas Cage,Willem Dafoe,David Carradine,Albert Finney,Adrien Brody,Jim Carrey,Kenneth Branagh,Jonah Hill,Adam Sandler,Jon Voight,Harrison Ford,Jack Black,Kiefer Sutherland,Chiwetel Ejiofor,Robert Duvall,Tim Robbins,John Hawkes,Elijah Wood,Thomas Haden Church,Jeremy Renner,Max von Sydow,Peter Falk,Richard Harris,James Earl Jones,Ethan Hawke,Gary Oldman,Patrick Stewart,Mark Wahlberg,Christian Bale,Jesse Eisenberg,Anthony Hopkins,Sean Penn,James Coburn,Donald Sutherland,Kevin Costner,Bryan Cranston,William H. Macy,Ben Kingsley,James Franco,Ryan Gosling,Paul Giamatti,James McAvoy,Pierce Brosnan,Ernest Borgnine,Alfred Molina,Colin Firth,Dennis Hopper,Sam Rockwell,Joseph Gordon-Levitt,Daniel Day-Lewis,Robert De Niro,F. Murray Abraham,Steve Martin,Jeff Daniels,Tommy Lee Jones,Eli Wallach,Jackie Earle Haley,John Turturro,Morgan Freeman,Leonardo DiCaprio,Don Cheadle,Ray Winstone,Denzel Washington,Hugh Grant,George Clooney,Christopher Plummer,Liam Neeson,Josh Brolin,Cillian Murphy,Viggo Mortensen,Chris Cooper,Tom Wilkinson,Alan Rickman,Elias Koteas,James Woods,Ned Beatty,Michael Fassbender,Sylvester Stallone,Christoph Waltz,Alan Arkin,Will Ferrell,Malcolm McDowell,John Travolta,Jean Dujardin,Michael Douglas,Samuel L. Jackson,Robert Downey Jr.,Scott Glenn,Matt Damon,Jim Broadbent,Heath Ledger,Mickey Rourke,Daniel Craig,Stanley Tucci,Jeffrey Wright,Billy Bob Thornton,Michael Madsen,Geoffrey Rush,Antonio Banderas,David Strathairn,Terrence Howard,Patrick Wilson,Matt Dillon,Roberto Benigni,Satyajit Ray,Bryan Singer,Akira Kurosawa,Joss Whedon,Francis Lawrence,Guy Ritchie,Guillermo del Toro,Ridley Scott,James Mangold,Richard Linklater,Tim Burton,Zack Snyder,James Gunn,Alejandro G. I��rritu,Yavuz Turgul,Robert Zemeckis,Paul Thomas Anderson,Ethan Coen,Roman Polanski,Danny Boyle,James Cameron,Federico Fellini,Ingmar Bergman,George Lucas,Alfred Hitchcock,Steven Spielberg,David Lynch,Spike Jonze,Milos Forman,Darren Aronofsky,Martin Scorsese,Sam Mendes,Upendra,Steve McQueen,Charles Chaplin,Stanley Kubrick,Peter Jackson,Denis Villeneuve,Lana Wachowski,Lilly Wachowski,Emir Kusturica,Quentin Tarantino,Frank Darabont,David Fincher,Sergio Leone,Asghar Farhadi,Hayao Miyazaki,Rajkumar Hirani,Christopher Nolan
0,0,2000000,1,7.2,304,105.0,21665468,14.508657738524219,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,1992,1990,10640,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7000000,1,3.5,54,105.0,8914881,15.761420707019587,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,1984,1980,13425,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,5.8,50,96.0,380806,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2017,2015,1369,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,5.2,84,85.0,3838,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,2011,2010,3647,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,100000,1,4.9,754,87.0,42664410,11.512925464970229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,10,2015,2015,2066,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,50000000,1,5.9,975,97.0,42277365,17.72753356339242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,9,1996,1995,9034,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,20000000,1,6.1,603,107.0,46069568,16.811242831518264,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2016,2015,1932,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,15000000,1,5.2,49,93.0,76382,16.523560759066484,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,1996,1995,9108,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,5.8,176,129.0,30231200,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,3,9,2008,2005,4657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,7.2,193,94.0,50673078,0.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,7,2009,2005,4338,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
